geoid,county_name,component,component_score,recommendation_status,corridor
51017,Bath County,overlap_risk,40.59735678182012,Ineligible: no interstate access,Not in a screened corridor
51019,Bedford County,market_demand,58.457820726007995,Ineligible: no interstate access,I-81 Roanoke / Salem
51019,Bedford County,growth,48.490334677462165,Ineligible: no interstate access,I-81 Roanoke / Salem
51019,Bedford County,purchasing_power,30.091990337493016,Ineligible: no interstate access,I-81 Roanoke / Salem
51019,Bedford County,highway_opportunity,23.07287448480137,Ineligible: no interstate access,I-81 Roanoke / Salem
51019,Bedford County,accessibility,72.55268627397933,Ineligible: no interstate access,I-81 Roanoke / Salem
51019,Bedford County,commercial_activity,42.21568571596071,Ineligible: no interstate access,I-81 Roanoke / Salem
51019,Bedford County,competition,85.3771566941627,Ineligible: no interstate access,I-81 Roanoke / Salem
51019,Bedford County,overlap_risk,65.68262325435427,Ineligible: no interstate access,I-81 Roanoke / Salem
51021,Bland County,market_demand,17.343165960466543,Watchlist,Not in a screened corridor
51021,Bland County,growth,21.18985203760674,Watchlist,Not in a screened corridor
51021,Bland County,purchasing_power,12.820703270526666,Watchlist,Not in a screened corridor
51021,Bland County,highway_opportunity,27.05002360862833,Watchlist,Not in a screened corridor
51021,Bland County,accessibility,99.42353637395554,Watchlist,Not in a screened corridor
51021,Bland County,commercial_activity,0.0,Watchlist,Not in a screened corridor
51021,Bland County,competition,69.76868995867547,Watchlist,Not in a screened corridor
51021,Bland County,overlap_risk,99.99999999999999,Watchlist,Not in a screened corridor
51023,Botetourt County,market_demand,45.01625682577564,Secondary candidate,I-81 Roanoke / Salem
51023,Botetourt County,growth,41.91095441966279,Secondary candidate,I-81 Roanoke / Salem
51023,Botetourt County,purchasing_power,30.936968766799975,Secondary candidate,I-81 Roanoke / Salem
51023,Botetourt County,highway_opportunity,34.47296952608035,Secondary candidate,I-81 Roanoke / Salem
51023,Botetourt County,accessibility,92.01246586283875,Secondary candidate,I-81 Roanoke / Salem
51023,Botetourt County,commercial_activity,31.69466252153609,Secondary candidate,I-81 Roanoke / Salem
51023,Botetourt County,competition,76.44255842558425,Secondary candidate,I-81 Roanoke / Salem
51023,Botetourt County,overlap_risk,61.05110989980072,Secondary candidate,I-81 Roanoke / Salem
51025,Brunswick County,market_demand,32.46712174984572,Watchlist,I-95 / I-85 Southside
51025,Brunswick County,growth,18.277851694510186,Watchlist,I-95 / I-85 Southside
51025,Brunswick County,purchasing_power,8.701189946273962,Watchlist,I-95 / I-85 Southside
51025,Brunswick County,highway_opportunity,26.781882102844506,Watchlist,I-95 / I-85 Southside
51025,Brunswick County,accessibility,90.71077858166973,Watchlist,I-95 / I-85 Southside
51025,Brunswick County,commercial_activity,14.087802255681503,Watchlist,I-95 / I-85 Southside
51025,Brunswick County,competition,67.45914208890008,Watchlist,I-95 / I-85 Southside
51025,Brunswick County,overlap_risk,57.701847521509734,Watchlist,I-95 / I-85 Southside
51027,Buchanan County,market_demand,33.48038748283638,Ineligible: no interstate access,Not in a screened corridor
51027,Buchanan County,growth,0.0,Ineligible: no interstate access,Not in a screened corridor
51027,Buchanan County,purchasing_power,1.2694313974569964,Ineligible: no interstate access,Not in a screened corridor
51027,Buchanan County,highway_opportunity,14.839553123418176,Ineligible: no interstate access,Not in a screened corridor
51027,Buchanan County,accessibility,42.70777910574273,Ineligible: no interstate access,Not in a screened corridor
51027,Buchanan County,commercial_activity,18.924194080233335,Ineligible: no interstate access,Not in a screened corridor
51027,Buchanan County,competition,81.08811334374109,Ineligible: no interstate access,Not in a screened corridor
51027,Buchanan County,overlap_risk,99.99999999999999,Ineligible: no interstate access,Not in a screened corridor
51029,Buckingham County,market_demand,32.95289246427076,Ineligible: no interstate access,Not in a screened corridor
51029,Buckingham County,growth,35.26966928257748,Ineligible: no interstate access,Not in a screened corridor
51029,Buckingham County,purchasing_power,11.193558524124251,Ineligible: no interstate access,Not in a screened corridor
51029,Buckingham County,highway_opportunity,13.3299847048721,Ineligible: no interstate access,Not in a screened corridor
51029,Buckingham County,accessibility,52.73606656902109,Ineligible: no interstate access,Not in a screened corridor
51029,Buckingham County,commercial_activity,11.824615766824598,Ineligible: no interstate access,Not in a screened corridor
51029,Buckingham County,competition,66.69622797682393,Ineligible: no interstate access,Not in a screened corridor
51029,Buckingham County,overlap_risk,48.41214094143963,Ineligible: no interstate access,Not in a screened corridor
51031,Campbell County,market_demand,53.09266706724895,Ineligible: no interstate access,Not in a screened corridor
51031,Campbell County,growth,37.91274004483901,Ineligible: no interstate access,Not in a screened corridor
51031,Campbell County,purchasing_power,16.789304502866614,Ineligible: no interstate access,Not in a screened corridor
51031,Campbell County,highway_opportunity,25.192153840586833,Ineligible: no interstate access,Not in a screened corridor
51031,Campbell County,accessibility,38.42558123498708,Ineligible: no interstate access,Not in a screened corridor
51031,Campbell County,commercial_activity,37.94984420336897,Ineligible: no interstate access,Not in a screened corridor
51031,Campbell County,competition,76.27411338556145,Ineligible: no interstate access,Not in a screened corridor
51031,Campbell County,overlap_risk,66.2613272699669,Ineligible: no interstate access,Not in a screened corridor
51033,Caroline County,market_demand,44.65608174062938,Overlap constrained,I-95 Fredericksburg / Stafford
51033,Caroline County,growth,56.396665309912166,Overlap constrained,I-95 Fredericksburg / Stafford
51033,Caroline County,purchasing_power,32.04173275191609,Overlap constrained,I-95 Fredericksburg / Stafford
51033,Caroline County,highway_opportunity,50.13966563509349,Overlap constrained,I-95 Fredericksburg / Stafford
51033,Caroline County,accessibility,87.01260993521383,Overlap constrained,I-95 Fredericksburg / Stafford
51033,Caroline County,commercial_activity,23.625548760076335,Overlap constrained,I-95 Fredericksburg / Stafford
